Stimuli,Condition,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,session,participant,date,exp_name,frameRate,
8_1_3.png,butterfly,None,0,293,293,293,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
3_1_2.png,cockroach,right,0,294,294,294,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
3_1_8.png,cockroach,None,0,295,295,295,,['right'],0,[7.605552673339844e-05],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
3_1_15.png,cockroach,None,0,296,296,296,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
15_1_6.png,horse,right,0,297,297,297,,['right'],0,[0.00011086463928222656],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
15_1_7.png,horse,None,0,298,298,298,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
15_1_8.png,horse,None,0,299,299,299,,['right'],0,[0.00026488304138183594],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
15_1_9.png,horse,None,0,300,300,300,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
15_1_10.png,horse,None,0,301,301,301,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
15_1_11.png,horse,None,0,302,302,302,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
12_1_14.png,mouse,right,0,303,303,303,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
12_1_15.png,mouse,None,0,304,304,304,,['right'],0,[0.00013208389282226562],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
35_1_10.png,hammer,right,0,305,305,305,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
35_1_11.png,hammer,None,0,306,306,306,,['right'],0,[0.00011301040649414062],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
35_1_12.png,hammer,None,0,307,307,307,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
35_1_13.png,hammer,None,0,308,308,308,,['right'],0,[0.00014495849609375],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
23_1_1.png,fly,right,0,309,309,309,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
23_1_2.png,fly,None,0,310,310,310,,['right'],0,[9.799003601074219e-05],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
4_1_12.png,ants,right,0,311,311,311,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
4_1_13.png,ants,None,0,312,312,312,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
